Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterechinus neumayeri,,,,,WorMs,,"Southern Ocean
Checked: verified by a taxonomic editorBalleny Islands BR
Checked: verified by a taxonomic editorTerra Nova Bay BR
(no group)
Checked: verified by a taxonomic editorVictoria Land BR E. tribuloides has become an invasive species in some parts of the world including Maltese waters where it has been since 1998. This was the first record in the Mediterranean and is thought to have been brought there in ballast water. (M. Scibberas and P. J. Schembri, 2007)",,fine,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storeria occipitomaculata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63930,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Succinea strigata,,,,,E-Fauna BC Atlas,,"Global range: An arctic-boreal species; Novisuccinea strigata has a broad range that extends from the Russian Far East (Chukotka and Kamchatka peninsulas and Sakhalin Island) across the Bering Strait to the Aleutians and mainland Alaska; east through northern Canada to southern Greenland (Westerlund 1885; Dall 1905; Pilsbry 1948; Likharev & Rammel'meier 1962). In Canada; known with certainty from BC; the Yukon; and the Northwest Territories. 
BC range: Liard River basin; but possible across all of the very north of BC (Forsyth 2005; map).",points in Africa/Australia seem to be wrong ,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suta flagellum,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=177568,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taeniopoda eques,,,,,Bugguide,bugguide.net,Southern Arizona and New Mexico and west Texas; down through Mexico to Costa Rica._,"missing points from southern part of range (costa rica, nicagragua etc)",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagelus dombeii,,,,,none,,no good range descr.,no good range description,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takydromus formosanus,,,,,Reptile database,,Taiwan; Pescadores Islands (Peng-hu Lieh-tao); elevation up to 1200 m, few points but match range description,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takydromus hsuehshanensis,,NO GBIF,,,Reptile database,,C Taiwan (mountains; elevation 1800-3;000 m),NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takydromus septentrionalis,,,,,Reptile database,,S China (Henan; Shaanxi = Shaansi; Gansu; Zhejiang; Sichuan; Guizhou; Hubei; Anhui; Jiangsu; Jiangxi; Hunan; Fujian; Guangdong; Guangxi; Shandong; possibly north to Jilin; Taiwan ?),"pionts very sparse, hard to be confident in range",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takydromus sexlineatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178424,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takydromus stejnegeri,,,,,Reptile database,,Taiwan; Pescadores Islands (= Penghu Liedao),one point outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapinoma sessile,,,,,Mississippi entomological museum; Antwiki,http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Tapinoma.sessile.htm#.VdusvUXjZVQ,"Southern Canada, United States (except desert areas of the southwest), to Mexico (Creighton 1950; Smith 1965). This species is known from all of the southeastern states including AL, AR, FL, GA, LA, MS, NC, SC, T N (MacGown, 2009).  Nearctic Region: Canada, United States (type locality). Neotropical Region: Mexico.","southern and northern edges not super well described and southern limit v poorly sampled.  Also, species range is actively increasing due to urbanization (see museum page)",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarentola boettgeri,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=61574,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taricha torosa,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59471,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauriphila argo,,,,,http://greglasley.com/nonBirds/archtippglider.html,,_tropical species of parts of Mexico and Central America. In the early summer of 2008; the species was recorded for the first time in the United States at Bentsen State Park; Hidalgo Co.; Texas._,too few points,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tautogolabrus adspersus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=187448,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technomyrmex brunneus,,NO GBIF,,,Antweb,,"India, Sri Lanka, Vietnam, China, Taiwan, Japan, Brunei",NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tectura testudinalis,,,,,WoRMS,,"Baltic Sea
Unreviewed: has not been verified by a taxonomic editor:Baltic sea [from synonym] [view taxon] BR
Bay of Fundy
Unreviewed: has not been verified by a taxonomic editor:Cobscook Bay [from synonym] [view taxon] BR
Canada
Unreviewed: has not been verified by a taxonomic editor:Brier Island [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Canadian Exclusive Economic Zone [Arctic part] BR
Unreviewed: has not been verified by a taxonomic editor:Deadmans Harbour [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Digby [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Indian Point [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:L'Etang [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Lepreau [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Lorneville Harbour [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Minister's Island [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Saguenay Fjord BR
Celtic Sea
Unreviewed: has not been verified by a taxonomic editor:South Coast of Ireland [from synonym] [view taxon] BR
Gulf of Saint Lawrence
Unreviewed: has not been verified by a taxonomic editor:Gulf of St. Lawrence BR
Unreviewed: has not been verified by a taxonomic editor:Manicouagan BR
Unreviewed: has not been verified by a taxonomic editor:St. Lawrence Estuary BR
Ireland
Unreviewed: has not been verified by a taxonomic editor:Irish Exclusive economic Zone BR
North Atlantic Ocean
Unreviewed: has not been verified by a taxonomic editor:European waters (ERMS scope) [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Gulf of Maine [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:North West Atlantic [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:United Kingdom Exclusive Economic Zone BR
Sweden
Unreviewed: has not been verified by a taxonomic editor:Swedish Exclusive Economic Zone BR
United Kingdom
Unreviewed: has not been verified by a taxonomic editor:England [from synonym] [view taxon] BR
Unreviewed: has not been verified by a taxonomic editor:Wales [from synonym] [view taxon] BR", many outliers on N America,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegillarca granosa,,,,,http://www.igoterra.com/artspec.asp?thingid=126144,,It is found throughout the Indo-Pacific region from the eastern coast of South Africa northwards and eastwards to Southeast Asia Australia Polynesia and up to northern Japan,missing poinst from South Africa,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tellina capsoides,,,,,WoRMS,,"South Africa
Trusted: edited by a thematic editor:East Coast of South Africa BR
FROM OTHER SOURCES
Madagascar
Unreviewed: has not been verified by a taxonomic editor:Madagascar BR
Mozambique
Unreviewed: has not been verified by a taxonomic editor:Mozambique BR",Occurrences dont match at all,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tellina piratica,,,,,none,,none,"no good range description, poor sampling in tropical aprt of range",remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,WoRMS,,,no species name,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tellina tenuis,,,,,none,,none,"no good range description, but points fairly contiguous. Drop NZ point",excl.points,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temnothorax curvispinosus,,NO GBIF,,,AntWiki,,"USA. Throughout the eastern United States, from Maine to central Florida, and westward through eastern North Dakota down through the eastern half of Texas.",NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temnothorax longispinosus,,NO GBIF,,,AntWeb,,"USA, CANADA: Minnesota. Wisconsin. Iowa. Missouri, Illinois, Michigan. Indiana. Kentucky. Tennessee. Alabama. Ohio. Maine. New York. Vermont, New Hampshire, Massachusetts, Connecticut, Pennsylvania. New Jersey. Maryland. Washington D. C.. West Virginia. Virginia, North Carolina. South Carolina. Georgia; Canada: Quebec, Ontario. (Mackay 2000)",NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temnothorax pergandei,,NO GBIF,,,AntWiki,,United States - New Jersey south to Florida west to Nebraska and Arizona. Mexico - Hidalgo.,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temnothorax tuscaloosae,,NO GBIF,,,AntWiki,,"United States: Known from Alabama, Mississippi and North Carolina, U.S.A.",NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teratoscincus przewalskii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178359,sparsely sampled,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetracanthella afurcata,,,,,Zipcodezoo.com,,Austria; Italy.,only 1 point,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium bicarinatum,,,,,AntWiki,,Worldwide throughout tropical and subtropical regions (widespread tramp species).,points don't match description well.,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium caespitum,,,,,Collingwood 1979 (cited in AntWiki); Steiner et al (2008) Diversity & Distributions (Antiwki seems to just be describing the GBIF points),,"Collingwood 1979: Holarctic: America to Japan, North Africa to N. Europe including British Isles.  Steiner etal 2008: introduced to Nam",confusion about native vs naturalized distribution - should occur in middle east & japan? ,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium nigerrimum,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium rufescens,,NO GBIF,,,AntWeb,,NAMIBIA. Afrotropic. ,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium semilaeve,,,,,doi: 10.3897/zookeys.512.10006,,western part of the Mediterranean basin,sparsely sampled within described range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium sericeiventre,,,,,AntWiki,,"This is the most common Tetramorium species found in the Arabian Peninsula (Collingwood, 1985; Collingwood and Agosti, 1996; Collingwood et al. 2011) and is also broadly distributed in the savannah of tropical Africa (Sharaf et al., 2013).",sparse coverage in important areas of range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,"Tetramorium Triglyphotrix are both genera, so there's no species name",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassoma lucasanum,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=154954,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis butleri,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63972,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis elegans,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63976,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis marcianus,,,,,IUCN (donêt use map),,southeastern California; southern Arizona; New Mexico; and southern Kansas south through the southwestern United States to northern and central Mexico (Zacatecas and northern Veracruz); and disjunctly through southern Mexico; Belize; Guatemala; Honduras; Nicaragua; and Costa Rica; at elevations from near sea level to 2;200 meters ,IUCN map doesnêt match IUCN description - use description,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis melanogaster,,,Y,,IUCN.but declining,,known from southwestern Chihuahua with disjunct populations from central Durango southward to Zacatecas; western Jalisco; Nayarit; Aguascalientes; Guanajuato; northern Michoacan; Estado de Mexico and Distrito Federale in Mexico. It occurs at elevations of 1;158 to 2;545 m asl.,gbif range bigger than IUCN range and spp declining - use gbif,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis ordinoides,,,Y,,IUCN,,west coast Nam S BC to N Calif; http://maps.iucnredlist.org/map.html?id=63985,lots in central US assume misIDd,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis radix,,,Y,,IUCN,,central United States to south-central Canada. Its range extends from southern Alberta; Montana; eastern Wyoming; eastern Colorado and northeastern New Mexico eastward through southern Manitoba; Minnesota; southern Wisconsin and northern and central Illinois to northwestern Indiana and disjunctly to central Ohio; southward to northern Texas; western Oklahoma; and northern half of Missouri; at elevations of 120 to 2;290 m (400 to 7;500 feet) but usually below 1;830 m (6;000 feet) ,some outliers according to IUCN,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnophis sirtalis,,,Y,,IUCN,, much of North America; from southeastern Alaska; British Columbia; southern Northwest Territories; northern Saskatchewan; central Manitoba; Ontario; central Quebec; and the Maritime Provinces of Canada; to southern California; central Utah; northeastern Colorado; New Mexico; and Chihuahua (Mexico) (disjunct); Texas; Gulf Coast; and southern Florida (Conant and Collins 1991; Ernst and Ernst 2003; Stebbins 2003). There is a very small population in northwestern Chihuaha; Mexico.,weird - IUCN map doenst match IUCN description of range,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibellus oblongus,,,,,Wikipedia; srs.britishspiders.org,,Holarctic distribution; throughout UK widespread in western and central Europe;,seems super widespread but no good maps.  Cant verify one way or the other really,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigriopus angulatus,,NO GBIF,,,WoRMs,,New Zealand,NO GBIF,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigriopus brevicornis,,,,,Handschummacher etal 2010 Marine Biology DOI 10.1007/s00227-010-1415-7,,"distribution ranging from Portugal in the south to Iceland and Nova Scotia in the north (Ingo_lfsson and Steinarsdo_ttir 2006). Its discovery in the Faroes, Iceland and Nova Scotia is recent and quite surprising (Ingo_lfsson and Steinarsdo_ttir 2006), but in all these regions, it is common, being recorded from many localities. (cited in Handschummacher etal 2010 Marine Biology DOI 10.1007/s00227-010-1415-7)",exclude point by italy; primary lit ref says should also be in nova scotia,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigriopus fulvus,,NO GBIF,,,NA,,no good range descriptions,NO GBIF,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiliqua nigrolutea,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; South Australia; Tasmania; Victoria),2 outliers too far west,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiliqua rugosa,,,,,australiamuseum.net.au (in Cogger under old name Trachydosaurus rugosUS),,Australia: common and widespread in New South Wales from the western slopes of the Great Dividing Range and do not occur naturally in Sydney. - See more at: http://australianmuseum.net.au/shingleback-lizard#sthash.k27amBHc.dpuf,gbif range roughly matches reptile-database,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiliqua scincoides,,,,,arod; (ADW says also New Guinea); Cogger,,Australia; New Guinea,listed as only Oz but records in Palau look pretty believable.  Wikiedia says some blue tongued skinks found on new guinea and some islands of indonesia.  Assume records in Palau misID'd?  Authors of indonesian records also work in Oz; assume they know whats what,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlalocohyla smithii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55660 endemic to Mexico.  central Sinaloa; southward along the Pacific lowlands to southern Oaxaca; and inland in the Balsas-Tepalcatepec Basin in Morelos and Puebla; Mexico. It occurs up to 1;332m asl.,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachylepis capensis,,,,,reptile database,,Republic of South Africa; Swaziland; Namibia; (except Namib desert); Botswana; Zimbabwe (relict populations on Inynaga Mountains); Zambia (Liuwa Plain),missing relict pops in Zimbabwe; point in Malawi prob doesnêt exist; and point in Zambia not in Liuwa plains.  Northern edge therefore not super reliable,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachylepis striata,,,,,"reptile database, widespread in southern Africa, including extreme southern Angola and Zambia, Namibia, Botswana, Zimbabwe, Mozambique, and parts of central and eastern South Africa.",,"WIKIPEDIA: widespread in southern Africa, including extreme southern Angola and Zambia, Namibia, Botswana, Zimbabwe, Mozambique, and parts of central and eastern South Africa.  REPTILEBASE: Namibia; Botswana; Zimbabwe; CN/E Republic of South Africa (south to Transkei and NE Cape; Swaziland); E/S Democratic Republic of the Congo (Zaire); Zambia; Tanzania; Angola; Uganda; Rwanda; Ethiopia; Somalia; Comoro Islands","hard to figure out range - if reptile db description right, N RL sparsely sampled, Wikipedia doesnÍt give Kenya/Uganda which do seem to be in range",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachymyrmex septentrionalis,,,,,AntWiki; Wikipedia,,"Trachymyrmex septentrionalis_has the most extensive distribution of all attine ants in the US. It has been collected from Texas to Florida and as far north as central Illinois, southern Ohio and Long Island, New York. (Rabeling et al. 2007)",remove point in southern Mexico,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachymyrmex smithi_neomexicanus,,NO GBIF,,,NA,,no good range descriptions,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tramea carolina,,,,,IUCN (but no map),,Canada (Nova Scotia; Ontario; Qu_bec); United States (Alabama; Arkansas; Connecticut; Delaware; Florida; Georgia; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Mississippi; Missouri; New Jersey; New York; North Carolina; Ohio; Oklahoma; Pennsylvania; Rhode Island; South Carolina; Tennessee; Texas; Virginia; Wisconsin),US records look OK (none of points are in states not listed in IUCN report); but no points from Canada so will screw up northern range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tramea cophysa,,NO GBIF,,,NA,,no good range descriptions,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tramea walkeri,,NO GBIF,,,NA,,no good range descriptions,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapelus savignii,,IUCN,Y,,IUCN,,restricted to the western Negev sands of Israel and the Gaza Strip; extending westwards across north Sinai to the eastern margins of the Nile Delta. Populations between the Suez Canal and the Nile Delta are highly fragmented and have almost been extirpated; with an estimate of 80% habitat loss in this region. Populations south of Tel Aviv in Israel are believed to be extinct. It is a lowland species possibly occurring up to 200 m asl,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trematomus bernacchii,,,,,fishbase,,Southern Ocean: Peter Island; South Shetland; Elephant and South Orkney islands. Mac-Robertson; Queen Mary; Adelie Coasts; Weddell; Davis and Ross seas. East Antarctica from Queen Maud Land to Terre Adelie.,exclude 1 point on coast of Australia + next northernmost point in Edinburgh of southern seas,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trematomus borchgrevinki,,,,,fishbase,,Southern Ocean: Ross; Davis and Weddell Sea; Vincennes Bay; Budd Coast; Antarctic Peninsula; South Orkney and South Shetland islands.,1 piont in arctic but continent is listed as antarctica - almost certainly just a mistake of not having a '-' before the latitude - fixed in processedd occurrences fiel (will have to refix if redownload GBIF data) actually easier to just exclude,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trematomus hansoni,,,,,fishbase,,Southern Ocean: South Orkneys; South Georgia and South Shetland islands. Ross; Davis and Weddell seas; South Victoria; Adelie; Queen Mary and Princess Ragnhild Coasts.,mostly good; eliminate equatormost point as argentina not listed in range,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimeresurus gracilis,,NO GBIF,Y,,IUCN,,endemic to Taiwan; Province of China. It occurs above 2;000 m asl,NO GBIF,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimeresurus stejnegeri,,,,,reptile database,,Specimens from Thailand have been assigned to T. vogeli and T. gumprechti; hence T. stejnegeri does not occur in Thailand (GUMPRECHT & BULIAN 2003). All records of T. stejnegeri from MYANMAR have been referred to Trimeresurus yunnanensis (see LEVITON et al. 2003). GUMPRECHT et al. (2004) recognize only 2 subspecies; stejnegeri and chenbihuii. Possibly in Bhutan (Lenz 2012).,"points in SE China shouldnt be there, apparently, and should be points in Nepal.  But points are pretty good and refs on web are not amazing",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
