genus_species,latitude,longitude
Rhinichthys atratulus,35.96,-83.92
Rhinichthys atratulus,42.6,-78.47
Rhinichthys atratulus,42.86,-78.83
Rhinichthys cobitis,32.85,-110.61
Rhinichthys cobitis,NA,NA
Rhinichthys cobitis,32.88,-110.38
Rhinichthys osculus,NA,NA
Rhinichthys osculus,34.18,-111.71
Rhinichthys osculus,37.2,-113.26
Rhinichthys osculus,43.22,-110.02
Rhinichthys osculus,42.87,-109.87
Rutilus rutilus,58.44,38.42
Rutilus rutilus,NA,NA
Rutilus rutilus,53.64,-2.66
Rutilus rutilus,52.29,18.24
Rutilus rutilus,52.34,18.35
Scardinius erythrophthalmus,52.72,18.54
Scardinius erythrophthalmus,52.29,18.24
Scardinius erythrophthalmus,52.34,18.35
Semotilus atromaculatus,43.64,-79.49
Semotilus atromaculatus,35.96,-83.92
Semotilus atromaculatus,NA,NA
Semotilus atromaculatus,38.32,-92.54
Semotilus atromaculatus,43.83,-79.48
Siphateles bicolor,39.19,-77.3
Siphateles bicolor,35.69,-117.62
Siphateles bicolor,35.67,-117.64
Squalius cephalus,52.29,18.24
Squalius cephalus,52.34,18.35
Cyprinodon bovinus,NA,NA
Cyprinodon bovinus,30.89,-102.88
Cyprinodon dearborni,NA,NA
Cyprinodon dearborni,10.43,-64.2
Cyprinodon macularius,NA,NA
Cyprinodon macularius,31.94,-113.02
Cyprinodon nevadensis,NA,NA
Cyprinodon nevadensis,36.93,-117.31
Cyprinodon nevadensis,34.07,-117.28
Gobiomorphus basalis,-35.15,173.68
Gobiomorphus basalis,-37.27,174.87
Gobiomorphus cotidianus,-35.15,173.68
Gobiomorphus cotidianus,-37.27,174.87
Esox lucius,58.44,38.42
Esox lucius,38.34,-90.37
Esox lucius,47.1,-93.45
Esox masquinongy,NA,NA
Esox masquinongy,51.51,-86.68
Esox masquinongy,42.24,-79.48
Fundulus diaphanus,35.57,-97.63
Fundulus diaphanus,33.17,-97.32
Fundulus heteroclitus,NA,NA
Fundulus heteroclitus,42.9,-70.81
Fundulus heteroclitus,31.11,-81.44
Fundulus heteroclitus,34.73,-76.72
Fundulus heteroclitus,37.16,-76.52
Fundulus notatus,NA,NA
Fundulus notatus,33.17,-97.32
Galaxias maculatus,-35.15,173.68
Galaxias maculatus,-37.27,174.87
Gasterosteus aculeatus,38.57,NA
Gasterosteus aculeatus,NA,NA
Gasterosteus aculeatus,52.34,18.35
Gobiesox strumosus,29.49,-85.25
Gobiesox strumosus,42,NA
Bathygobius fuscus,-5.47,123.76
Bathygobius fuscus,5.28,123.6
Bathygobius ramosus,2.97,7.18
Bathygobius ramosus,7.33,-80.21
Gillichthys mirabilis,34.41,-119.67
Gillichthys mirabilis,38.06,-122.45
Gobiosoma chiquita,31.18,-113.4
Gobiosoma chiquita,31.29,-113.54
Gobius paganellus,38.71,-9.49
Gobius paganellus,38.78,-9.5
Gobius paganellus,45,NA
Haemulon flavolineatum,24.8,-82.7
Haemulon flavolineatum,18.35,-65.04
Ameiurus catus,41.24,-73.92
Ameiurus catus,38.28,-76.42
Ameiurus melas,NA,NA
Ameiurus melas,38.34,-90.37
Ameiurus melas,42.08,-81.34
Ameiurus natalis,NA,NA
Ameiurus natalis,42.08,-81.34
Ameiurus nebulosus,45.83,-78.42
Ameiurus nebulosus,41.65,-82.83
Ameiurus nebulosus,43.64,-79.49
Ameiurus nebulosus,NA,NA
Ameiurus nebulosus,45.73,-78.4
Ameiurus nebulosus,42.08,-81.34
Ameiurus nebulosus,39.92,-75.13
Ameiurus nebulosus,41.24,-73.92
Ictalurus punctatus,34.45,-96.64
Ictalurus punctatus,35.69,-79.4
Ictalurus punctatus,NA,NA
Ictalurus punctatus,41.65,-82.83
Ictalurus punctatus,29.48,-81.68
Ictalurus punctatus,35.66,-97.47
Ictalurus punctatus,41.03,-75.47
Ictalurus punctatus,42.08,-81.34
Ictalurus punctatus,30.33,-110.42
Ictalurus punctatus,29.21,-89.28
Ictalurus punctatus,47.99,-97.06
Kuhlia sandvicensis,21.37,-157.98
Kuhlia sandvicensis,20,NA
